episode,step,robot_x,robot_y,dynamic_count,time
94,299,507.91619486856877,138.58688197823648,1,1764873685.093816
95,154,432.70749610074574,26.60626030261695,1,1764873685.4118989
96,110,367.12365232359724,26.88503285769776,1,1764873685.6535065
97,29,409.9786680248472,27.746680489078553,1,1764873685.7127764
98,156,297.47673076957483,159.30081642292384,1,1764873686.0286436
99,193,427.02312998845116,27.47128884381259,1,1764873686.4139285
100,67,384.45774320285653,27.768607215861046,1,1764873686.551941
101,60,411.9999977728393,27.342972949908788,1,1764873686.6826317
102,166,491.31045635600157,26.130938211164867,1,1764873687.0219667
103,215,482.08923421290797,172.4346566134862,1,1764873687.4632096
104,534,266.26049631941345,674.4627288440589,1,1764873688.609848
105,614,202.2427300412038,608.0358437920429,1,1764873689.9167943
